   Compiling vaultwarden-cli v0.5.4 (/home/sixtocantolla/sessions/day-to-day/vaultwarden-cli-story-1-4)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 17.42s
     Running unittests src/lib.rs (target/debug/deps/vaultwarden_cli-bb956f24ffd0a3e7)

running 432 tests
test access::application::tests::expires_during_resolution_discards_values ... ok
test access::application::tests::expiry_during_compatibility_probe_prevents_item_resolution ... ok
test access::application::tests::contending_submissions_are_rejected_without_queued_creation_or_launch ... ok
test access::application::tests::cleanup_failure_poison_cannot_be_bypassed_by_unlock ... ok
test access::application::tests::closing_between_eligibility_checks_prevents_next_binding_and_final_persistence ... ok
test access::application::tests::expiry_exact_boundary_clears_authority_and_token_lifetime_bounds_session ... ok
test access::application::tests::expiry_across_bindings_and_before_policy_commit_revokes_without_persistence ... ok
test access::application::tests::persistence_failure_still_clears_backend_and_blocks_renewal ... ok
test access::application::tests::locked_and_incompatible_never_use_items_or_leak_sentinels ... ok
test access::application::tests::production_policy_activation_uses_only_owned_unlocked_backend ... ok
test access::application::tests::lock_serializes_resolution_and_delayed_unlock ... ok
test access::application::tests::shutdown_discards_delayed_unlock_and_permanently_closes_admission ... ok
test access::application::tests::lock_restart_and_expiry_invalidate_durable_work ... ok
test access::direct_request_tests::correctly_sealed_other_owner_record_is_not_disclosed_to_current_human ... ok
test access::application::tests::unusable_deadlines_clear_newly_created_authority ... ok
test access::direct_request_tests::exact_metadata_and_input_size_limits_remain_usable ... ok
test access::direct_request_tests::identifiers_digest_and_closed_contracts_have_independent_vectors ... ok
test access::application::tests::revocation_immediately_after_persistence_returns_terminal_receipt_without_launch ... ok
test access::application::tests::slow_backend_errors_revoke_before_propagation ... ok
test access::direct_request_tests::failed_desktop_handoff_changes_only_its_own_request ... ok
test access::direct_request_tests::duplicate_ids_and_stale_pending_epochs_are_rejected_independently ... ok
test access::direct_request_tests::launch_crossing_deadline_returns_terminal_receipt_and_cannot_revive ... ok
test access::direct_request_tests::owned_submission_canonicalizes_and_projects_only_safe_metadata ... ok
test access::direct_request_tests::ownerless_legacy_and_other_owner_have_no_authority ... ok
test access::direct_request_tests::launch_failure_is_durable_closed_and_store_failure_prevents_launch ... ok
test access::direct_request_tests::admission_change_during_provider_time_read_prevents_record_and_desktop ... ok
test access::direct_request_tests::status_wire_requires_variant_fields_and_bounded_exit_codes ... ok
test access::direct_request_tests::redacted_output_contracts_reject_unknown_secret_session_and_output_fields ... ok
test access::policy::tests::approved_images_bind_id_path_and_digest_and_reverify_the_file ... ok
test access::policy::tests::argument_and_credential_components_enforce_closed_safe_grammar ... ok
test access::policy::tests::draft_accepts_exact_authority_component_limits ... ok
test access::policy::tests::image_path_and_identity_validation_rejects_all_untrusted_shapes ... ok
test access::policy::tests::policy_error_is_redacted ... ok
test access::policy::tests::policy_exposes_exact_login_bindings_and_strictly_validates_arguments ... ok
test access::policy::tests::rejects_arbitrary_or_expanding_configuration ... ok
test access::policy::tests::rejects_unknown_login_field_members_and_loader_controlled_destinations ... ok
test access::policy::tests::revision_is_stable_for_unordered_input_and_changes_for_authority ... ok
test access::policy::tests::stored_image_is_reverified ... ok
test access::policy::tests::top_level_draft_validation_rejects_each_authority_expansion ... ok
test access::ports::tests::diagnostics_are_stable_and_sensitive_debug_is_redacted ... ok
test access::ports::tests::production_clock_wall_time_matches_the_current_unix_bracket ... ok
test access::direct_request_tests::semantic_record_guards_are_independent_of_the_integrity_seal ... ok
test access::direct_request_tests::provider_records_preserve_distinct_authenticated_peer_uids ... ok
test access::provider::tests::activation_requires_registry_id_and_exact_login_binding ... ok
test access::provider::tests::stable_diagnostics_are_redacted ... ok
test access::direct_request_tests::provider_constructor_enforces_each_request_lifetime_boundary ... ok
test access::provider::tests::poisoned_store_blocks_preflight_before_stale_memory_is_admitted ... ok
test access::provider_store::tests::directory_and_file_validation_reject_every_unsafe_shape ... ok
